x,y,z,sigma11,sigma22,sigma33,sigma12,sigma13,sigma23
12,12,12,0.6244851663495412,0.06087778054384971,0.06087763643729252,0.17220934276246203,0.1722093430739478,0.17220934359309076
10,10,10,0.8095845209977006,0.13315056383466778,0.13315020831152774,0.24828116283721402,0.2482811639235369,0.24828116573407502
121,11,122,-0.18845002559345284,-0.256459896398239,-0.2564598963998326,-0.1618545734750377,-0.16185457347574933,-0.16185457347503826
